The Trial,Kafka Franz
A Thousand Cranes,Kawabata Yasunari
The Last Temptation of Christ,Kazantzákis Nikos
Zorba the Greek,Kazantzákis Nikos
Measuring the World,Kehlmann Daniel
Green Henry,Keller Gottfried
"How Late It Was, How Late",Kelman James
The Busconductor Hines,Kelman James
A Disaffection,Kelman James
"Kieron Smith, boy",Kelman James
Schindler’s Ark,Keneally Thomas
Looking for the Possible Dance,Kennedy A.L.
Everything You Need,Kennedy A.L.
Confederacy of Dunces,Kennedy Toole John
On the Road,Kerouac Jack
Fateless,Kertész Imre
One Flew Over the Cuckoo’s Nest,Kesey Ken
Sometimes a Great Notion,Kesey Ken
Annie John,Kincaid Jamaica
The Shining,King Stephen
The Water-Babies,Kingsley Charles
The Poisonwood Bible,Kingsolver Barbara
Kim,Kipling Rudyard
"Garden, Ashes",Kis Danilo
"Waiting for the Dark, Waiting for the Light",Klima Ivan
Death in Rome,Koeppen Wolfgang
The Hothouse,Koeppen Wolfgang
The Case Worker,Konrad Gyorgy
A Day in Spring,Kosmac Ciril
Smell of Sadness,Kossmann Alfred
The Fan Man,Kotzwinkle William
The Midnight Examiner,Kotzwinkle William
The Melancholy of Resistance,Krasznahorkai László
The Last Days of Humanity,Kraus Karl
The History of Love,Krauss Nicole
On the Edge of Reason,Krleza Miroslav
The Return of Philip Latinowicz,Krleza Miroslav
Professor Martens' Departure,Kross Jaan
The Book of Laughter and Forgetting,Kundera Milan
The Unbearable Lightness of Being,Kundera Milan
Ignorance,Kundera Milan
The Joke,Kundera Milan
The Buddha of Suburbia,Kureishi Hanif
Gabriel’s Gift,Kureishi Hanif
Intimacy,Kureishi Hanif
Land,Kyung-ni Park
The Princess of Clèves,La Fayette Madame de
Andrea,Laforet Carmen
Barabbas,Lagerkvist Par
Gösta Berling’s Saga,Lagerlöf Selma
The Namesake,Lahiri Jhumpa
Passing,Larsen Nella
Quicksand,Larsen Nella
The Diviners,Laurence Margaret
Maldoror,Lautréaumont Comte de
Lady Chatterley’s Lover,Lawrence D.H.
Sons and Lovers,Lawrence D.H.
The Rainbow,Lawrence D.H.
Women in Love,Lawrence D.H.
Aaron’s Rod,Lawrence D.H.
The Fox,Lawrence D.H.
The Plumed Serpent,Lawrence D.H.
Independent People,Laxness Halldór
The Dark Child,Laye Camara
Smiley’s People,Le Carré John
The Spy Who Came in from the Cold,Le Carré John
Tinker Tailor Soldier Spy,Le Carré John
In a Glass Darkly,Le Fanu Sheridan
Uncle Silas,Le Fanu Sheridan
The Dispossessed,Le Guin Ursula K.
Lost Language of Cranes,Leavitt David
To Kill a Mockingbird,Lee Harper
Cider With Rosie,Lee Laurie
Solaris,Lem Stanislaw
The Female Quixote,Lennox Charlotte
The German Lesson,Lenz Siegfried
Get Shorty,Leonard Elmore
La Brava,Leonard Elmore
City Primeval,Leonard Elmore
A Hero of Our Times,Lermontov Mikhail Yurevich
The Enchanted Wanderer,Leskov Nikolai
The Golden Notebook,Lessing Doris
The Grass is Singing,Lessing Doris
Shikasta,Lessing Doris
The Diary of Jane Somers,Lessing Doris
Christ Stopped at Eboli,Levi Carlo
"If Not Now, When?",Levi Primo
If This Is a Man,Levi Primo
The Drowned and the Saved,Levi Primo
Small Island,Levy Andrea
The Monk,Lewis M.G.
Monica,Lewis Saunders
Babbitt,Lewis Sinclair
Main Street,Lewis Sinclair
Tarr,Lewis Wyndham
The Apes of God,Lewis Wyndham
Self Condemned,Lewis Wyndham
The Childermass,Lewis Wyndham
The Revenge for Love,Lewis Wyndham
A Short History of Tractors in Ukrainian,Lewycka Marina
Pippi Longstocking,Lindgren Astrid
The Unknown Soldier,Linna Vaino
The Hour of the Star,Lispector Clarice
The Passion According to G.H.,Lispector Clarice
The Kindly Ones,Littell Jonathan
The Feast of the Goat,Llosa Mario Vargas
The Time of the Hero,Llosa Mario Vargas
The War of the End of the World,Llosa Mario Vargas
Martin Eden,London Jack
The Iron Heel,London Jack
The Call of the Wild,London Jack
The Twins,Loo Tessa de
At the Mountains of Madness,Lovecraft H.P.
Under the Volcano,Lowry Malcolm
Dark as the Grave Wherein My Friend is Laid,Lowry Malcolm
